=== DP-GCN: noise_mult=4.0, lr=3e-3 ===
Using device: cuda
Reading node features from datasets/ogbn_arxiv/raw/node-feat.csv.gz...
Node features loaded: (169343, 128)
Reading node labels...
Node labels loaded: (169343,)
Reading edges...
Edges loaded: 1166243
Reading splits...
Splits: train=90941, val=29799, test=48603
Computing disjoint edge filter...
Disjoint filter: 1166243 -> 464361 edges
Num training nodes: 90941
Num total nodes: 169343
Num edges: 532308
Feature dim: 128
Building subgraphs...
Pre-computing subgraph weights...
Subgraphs built.
Model parameters: 27040
Estimating clipping thresholds from 10000 samples...
Clipping thresholds: {'encoder.layers.0.weight': 3.1186107397079468, 'encoder.layers.0.bias': 1.2115269005298615, 'core_hops.0.update_fn.layers.0.weight': 1.796020120382309, 'core_hops.0.update_fn.layers.0.bias': 0.9065243452787399, 'decoder.layers.0.weight': 2.748708128929138, 'decoder.layers.0.bias': 0.9924480766057968}
Base sensitivity: 12.0
num_steps:   0, train_loss_after_init: 3.7012, train_accuracy_after_init: 3.7343, val_loss_after_init: 3.7886, val_accuracy_after_init: 2.6242, test_loss_after_init: 3.8280, test_accuracy_after_init: 2.4587, epsilon_after_init: 0.0000
num_steps:  50, train_loss: 2.7555, train_accuracy: 27.4222, val_loss: 2.7061, val_accuracy: 28.6721, test_loss: 2.7098, test_accuracy: 26.4654, epsilon: 1.6886
num_steps: 100, train_loss: 2.4632, train_accuracy: 34.9435, val_loss: 2.3999, val_accuracy: 36.4173, test_loss: 2.4269, test_accuracy: 35.2221, epsilon: 2.1896
num_steps: 150, train_loss: 2.3178, train_accuracy: 39.7994, val_loss: 2.2569, val_accuracy: 40.6658, test_loss: 2.2857, test_accuracy: 40.3761, epsilon: 2.6624
num_steps: 200, train_loss: 2.2409, train_accuracy: 40.6076, val_loss: 2.1983, val_accuracy: 41.1524, test_loss: 2.2307, test_accuracy: 40.2876, epsilon: 3.0754
num_steps: 250, train_loss: 2.1839, train_accuracy: 41.7315, val_loss: 2.1558, val_accuracy: 42.1793, test_loss: 2.1889, test_accuracy: 40.9419, epsilon: 3.4483
num_steps: 300, train_loss: 2.1222, train_accuracy: 43.0334, val_loss: 2.0919, val_accuracy: 43.8471, test_loss: 2.1190, test_accuracy: 42.7772, epsilon: 3.7923
num_steps: 350, train_loss: 2.0661, train_accuracy: 44.2991, val_loss: 2.0279, val_accuracy: 45.7230, test_loss: 2.0549, test_accuracy: 44.4952, epsilon: 4.1138
num_steps: 400, train_loss: 2.0137, train_accuracy: 45.5130, val_loss: 1.9708, val_accuracy: 47.2063, test_loss: 1.9955, test_accuracy: 46.2585, epsilon: 4.4176
num_steps: 450, train_loss: 1.9674, train_accuracy: 46.6874, val_loss: 1.9231, val_accuracy: 48.4614, test_loss: 1.9466, test_accuracy: 47.6020, epsilon: 4.7064
num_steps: 500, train_loss: 1.9259, train_accuracy: 47.8640, val_loss: 1.8899, val_accuracy: 49.3540, test_loss: 1.9140, test_accuracy: 48.6328, epsilon: 4.9830
num_steps: 550, train_loss: 1.8836, train_accuracy: 48.8504, val_loss: 1.8575, val_accuracy: 50.2232, test_loss: 1.8846, test_accuracy: 49.1636, epsilon: 5.2489
num_steps: 600, train_loss: 1.8483, train_accuracy: 49.9984, val_loss: 1.8254, val_accuracy: 51.3407, test_loss: 1.8501, test_accuracy: 50.3508, epsilon: 5.5053
num_steps: 650, train_loss: 1.8175, train_accuracy: 50.7846, val_loss: 1.8031, val_accuracy: 51.9548, test_loss: 1.8310, test_accuracy: 50.6594, epsilon: 5.7539
num_steps: 700, train_loss: 1.7902, train_accuracy: 51.5543, val_loss: 1.7752, val_accuracy: 52.5219, test_loss: 1.7990, test_accuracy: 51.4248, epsilon: 5.9947
num_steps: 750, train_loss: 1.7676, train_accuracy: 52.3141, val_loss: 1.7604, val_accuracy: 53.0655, test_loss: 1.7877, test_accuracy: 51.7190, epsilon: 6.2294
num_steps: 800, train_loss: 1.7466, train_accuracy: 52.8244, val_loss: 1.7454, val_accuracy: 53.3743, test_loss: 1.7681, test_accuracy: 52.0503, epsilon: 6.4583
num_steps: 850, train_loss: 1.7270, train_accuracy: 53.2664, val_loss: 1.7308, val_accuracy: 53.8307, test_loss: 1.7477, test_accuracy: 52.6243, epsilon: 6.6815
