=== DP-GCN: nm=4.0, corrected Flax init ===
Using device: cuda
Reading node features from datasets/ogbn_arxiv/raw/node-feat.csv.gz...
Node features loaded: (169343, 128)
Reading node labels...
Node labels loaded: (169343,)
Reading edges...
Edges loaded: 1166243
Reading splits...
Splits: train=90941, val=29799, test=48603
Computing disjoint edge filter...
Disjoint filter: 1166243 -> 464361 edges
Num training nodes: 90941
Num total nodes: 169343
Num edges: 532308
Feature dim: 128
Building subgraphs...
Pre-computing subgraph weights...
Subgraphs built.
Model parameters: 27040
Estimating clipping thresholds from 10000 samples...
Clipping thresholds: {'encoder.layers.0.weight': 3.697627902030945, 'encoder.layers.0.bias': 1.440140426158905, 'core_hops.0.update_fn.layers.0.weight': 2.2614967226982117, 'core_hops.0.update_fn.layers.0.bias': 1.0176893174648285, 'decoder.layers.0.weight': 3.253721594810486, 'decoder.layers.0.bias': 0.9945138245820999}
Base sensitivity: 12.0
num_steps:   0, train_loss_after_init: 3.7201, train_accuracy_after_init: 3.6826, val_loss_after_init: 3.8358, val_accuracy_after_init: 2.6008, test_loss_after_init: 3.8876, test_accuracy_after_init: 2.4340, epsilon_after_init: 0.0000
num_steps:  50, train_loss: 2.7161, train_accuracy: 27.9500, val_loss: 2.6576, val_accuracy: 29.6285, test_loss: 2.6651, test_accuracy: 27.1814, epsilon: 1.6886
num_steps: 100, train_loss: 2.4092, train_accuracy: 37.0856, val_loss: 2.3434, val_accuracy: 38.3402, test_loss: 2.3701, test_accuracy: 37.9277, epsilon: 2.1896
num_steps: 150, train_loss: 2.2392, train_accuracy: 42.0514, val_loss: 2.1746, val_accuracy: 43.4645, test_loss: 2.2011, test_accuracy: 43.3307, epsilon: 2.6624
num_steps: 200, train_loss: 2.1296, train_accuracy: 43.8625, val_loss: 2.0765, val_accuracy: 45.0552, test_loss: 2.1057, test_accuracy: 44.2174, epsilon: 3.0754
num_steps: 250, train_loss: 2.0416, train_accuracy: 45.5768, val_loss: 1.9995, val_accuracy: 46.8271, test_loss: 2.0310, test_accuracy: 45.7153, epsilon: 3.4483
num_steps: 300, train_loss: 1.9630, train_accuracy: 46.9403, val_loss: 1.9210, val_accuracy: 48.7198, test_loss: 1.9459, test_accuracy: 47.9477, epsilon: 3.7923
num_steps: 350, train_loss: 1.9028, train_accuracy: 48.3412, val_loss: 1.8646, val_accuracy: 50.1695, test_loss: 1.8899, test_accuracy: 49.3488, epsilon: 4.1138
num_steps: 400, train_loss: 1.8548, train_accuracy: 49.3573, val_loss: 1.8212, val_accuracy: 51.0554, test_loss: 1.8433, test_accuracy: 50.4393, epsilon: 4.4176
num_steps: 450, train_loss: 1.8130, train_accuracy: 50.5141, val_loss: 1.7833, val_accuracy: 52.1293, test_loss: 1.8043, test_accuracy: 51.2252, epsilon: 4.7064
num_steps: 500, train_loss: 1.7790, train_accuracy: 51.3366, val_loss: 1.7585, val_accuracy: 52.5890, test_loss: 1.7802, test_accuracy: 51.7170, epsilon: 4.9830
