=== Non-DP GCN (DP architecture) ===
Using device: cuda
Reading node features from datasets/ogbn_arxiv/raw/node-feat.csv.gz...
Node features loaded: (169343, 128)
Reading node labels...
Node labels loaded: (169343,)
Reading edges...
Edges loaded: 1166243
Reading splits...
Splits: train=90941, val=29799, test=48603
Computing disjoint edge filter...
Disjoint filter: 1166243 -> 464361 edges
Num training nodes: 90941
Num total nodes: 169343
Num edges: 532308
Feature dim: 128
Model parameters: 27040
num_steps:   0, train_loss_after_init: 3.7201, train_accuracy_after_init: 3.6826, val_loss_after_init: 3.8358, val_accuracy_after_init: 2.6008, test_loss_after_init: 3.8876, test_accuracy_after_init: 2.4340, epsilon_after_init: 0.0000
num_steps: 100, train_loss: 1.4999, train_accuracy: 56.3585, val_loss: 1.4962, val_accuracy: 56.5589, test_loss: 1.5113, test_accuracy: 55.4246, epsilon: 0.0000
num_steps: 200, train_loss: 1.3806, train_accuracy: 59.3781, val_loss: 1.4136, val_accuracy: 58.3845, test_loss: 1.4293, test_accuracy: 57.0726, epsilon: 0.0000
num_steps: 300, train_loss: 1.3374, train_accuracy: 60.4535, val_loss: 1.3888, val_accuracy: 59.0490, test_loss: 1.4032, test_accuracy: 57.7475, epsilon: 0.0000
num_steps: 400, train_loss: 1.3074, train_accuracy: 61.3200, val_loss: 1.3653, val_accuracy: 59.5188, test_loss: 1.3750, test_accuracy: 58.2598, epsilon: 0.0000
num_steps: 500, train_loss: 1.2859, train_accuracy: 61.6861, val_loss: 1.3559, val_accuracy: 59.8443, test_loss: 1.3642, test_accuracy: 58.5190, epsilon: 0.0000
num_steps: 600, train_loss: 1.2668, train_accuracy: 62.2261, val_loss: 1.3502, val_accuracy: 59.9013, test_loss: 1.3615, test_accuracy: 58.5705, epsilon: 0.0000
num_steps: 700, train_loss: 1.2493, train_accuracy: 62.6109, val_loss: 1.3484, val_accuracy: 59.8342, test_loss: 1.3630, test_accuracy: 58.6836, epsilon: 0.0000
num_steps: 800, train_loss: 1.2349, train_accuracy: 63.1079, val_loss: 1.3519, val_accuracy: 59.5892, test_loss: 1.3697, test_accuracy: 58.3050, epsilon: 0.0000
num_steps: 900, train_loss: 1.2186, train_accuracy: 63.4378, val_loss: 1.3366, val_accuracy: 60.2940, test_loss: 1.3356, test_accuracy: 59.7761, epsilon: 0.0000
num_steps: 1000, train_loss: 1.2057, train_accuracy: 63.7281, val_loss: 1.3349, val_accuracy: 60.3242, test_loss: 1.3304, test_accuracy: 59.8543, epsilon: 0.0000
